,geo,slice,start_date,cur_date,end_date,population,current_price,current_rent,leveraged,noi_current,curr_rate,irr,irr_costar,geo_slice
160,Chicago - IL - Western Kane County,Class C,2013-10-01,2023-10-01,2028-10-01,9441957,120338.4433,2487.662808008492,0.8,0.12403332167793592,0.0768707358490566,0.4880607309458185,0.43138112744483914,Submarket - Chicago - IL - Western Kane County - Class C
524,Philadelphia - PA - Salem County,Class C,2013-10-01,2023-10-01,2028-10-01,6241164,81794.8438,1184.7240651605125,0.8,0.08690455364575285,0.0768707358490566,0.3196513026403969,0.26462588109300866,Submarket - Philadelphia - PA - Salem County - Class C
474,Northern New Jersey - NJ - Pike County,Class C,2013-10-01,2023-10-01,2028-10-01,9267000,97491.0374,1261.4325706151187,0.8,0.07763375614352333,0.0768707358490566,0.3654400609711965,0.19454975270126562,Submarket - Northern New Jersey - NJ - Pike County - Class C
3,Atlanta - GA - Bartow County,Class C,2013-10-01,2023-10-01,2028-10-01,6222106,79379.6896,998.1479583667436,0.7105297004802765,0.07544609685901899,0.0768707358490566,0.1960288255531999,0.17360867489550458,Submarket - Atlanta - GA - Bartow County - Class C
189,Dallas-Fort Worth - TX - Grapevine,Class C,2013-10-01,2023-10-01,2028-10-01,7943685,101684.6767,1291.3969574890818,0.8,0.07620009224983347,0.0768707358490566,0.3811539384076532,0.17120142349709155,Submarket - Dallas-Fort Worth - TX - Grapevine - Class C
385,New York - NY - Middletown/Goshen,Class C,2013-10-01,2023-10-01,2028-10-01,8468000,133211.8182,1716.4563261953201,0.7009098791289389,0.07731099309604589,0.0768707358490566,0.15838613475603913,0.15598048082017613,Submarket - New York - NY - Middletown/Goshen - Class C
576,Phoenix - AZ - Southeast Valley,Class C,2013-10-01,2023-10-01,2028-10-01,5015678,88907.1234,1042.0124668427738,0.8,0.07032141589969206,0.0768707358490566,0.3357976726873244,0.1422626417231725,Submarket - Phoenix - AZ - Southeast Valley - Class C
289,Houston - TX - East End Houston,Class C,2013-10-01,2023-10-01,2028-10-01,7340118,77118.6231,892.0115493523338,0.7977008731518552,0.06940047787385877,0.0768707358490566,0.28560542995139904,0.13708753978331978,Submarket - Houston - TX - East End Houston - Class C
621,Washington - DC - Frederick County,Class C,2013-10-01,2023-10-01,2028-10-01,6373756,124249.2025,1353.6004226229245,0.7971299432617335,0.06536542989672346,0.0768707358490566,0.24697402926066614,0.10970851786493219,Submarket - Washington - DC - Frederick County - Class C
13,Northern New Jersey - NJ,Class C,2013-10-01,2023-10-01,2027-10-01,9267000,168818.0404,1587.2353513562416,0.7081322616540658,0.05641228914618684,0.0768707358490566,0.18487483861969523,0.09157278727056894,City - Northern New Jersey - NJ - Class C
