,period,slice,geo,ef_r,price,limit,spx,cpi,fed,rate,geo_slice
2712,2000-01-01,Class B,Atlanta - GA,893.6240484566621,58298.6282,0.7004700668837841,1419.783846153846,169.45833333333334,0.056776923076923,0.0946902197802197,City - Atlanta - GA - Class B
2826,2000-01-01,Class C,Atlanta - GA,687.9504294864091,35989.2082,0.8,1419.783846153846,169.45833333333334,0.056776923076923,0.0946902197802197,City - Atlanta - GA - Class C
1408,2000-01-01,Class B,Atlanta - GA,894.2175160767584,58244.8934,0.7015819179139497,1419.783846153846,169.45833333333334,0.056776923076923,0.0946902197802197,City - Atlanta - GA - Class B
1452,2000-01-01,Class C,Atlanta - GA,687.5992268933476,35971.6845,0.8,1419.783846153846,169.45833333333334,0.056776923076923,0.0946902197802197,City - Atlanta - GA - Class C
2713,2000-04-01,Class B,Atlanta - GA,901.4267801838764,58146.0291,0.7538901205555846,1444.2010989010987,171.08333333333334,0.0627197802197802,0.0917343956043956,City - Atlanta - GA - Class B
2827,2000-04-01,Class C,Atlanta - GA,692.8424552841901,35895.8917,0.8,1444.2010989010987,171.08333333333334,0.0627197802197802,0.0917343956043956,City - Atlanta - GA - Class C
1409,2000-04-01,Class B,Atlanta - GA,902.0241102764418,58088.5187,0.7551365672568823,1444.2010989010987,171.08333333333334,0.0627197802197802,0.0917343956043956,City - Atlanta - GA - Class B
1453,2000-04-01,Class C,Atlanta - GA,692.4888909291653,35879.6415,0.8,1444.2010989010987,171.08333333333334,0.0627197802197802,0.0917343956043956,City - Atlanta - GA - Class C
2714,2000-07-01,Class B,Atlanta - GA,908.2212775697992,58848.3283,0.76919432031143,1476.3705434782607,172.59166666666667,0.0651945652173913,0.0888155434782608,City - Atlanta - GA - Class B
2828,2000-07-01,Class C,Atlanta - GA,697.0839100157974,36026.3419,0.8,1476.3705434782607,172.59166666666667,0.0651945652173913,0.0888155434782608,City - Atlanta - GA - Class C
1410,2000-07-01,Class B,Atlanta - GA,908.8217853707896,58788.3794,0.7704878020668537,1476.3705434782607,172.59166666666667,0.0651945652173913,0.0888155434782608,City - Atlanta - GA - Class B
