,date_forecast,lower,mean,upper,k,j,geo_slice
0,2018-10-01,0.4187869235326551,0.47169564433001687,0.5241256505001803,Chicago - IL - Western Kane County,Class C,Submarket - Chicago - IL - Western Kane County - Class C
1,2019-01-01,0.4166367155222044,0.4742422519192169,0.5216495299787864,Chicago - IL - Western Kane County,Class C,Submarket - Chicago - IL - Western Kane County - Class C
2,2019-04-01,0.41863415770750545,0.47645080799571904,0.5228990452047448,Chicago - IL - Western Kane County,Class C,Submarket - Chicago - IL - Western Kane County - Class C
3,2019-07-01,0.44498410251593246,0.5010887582447416,0.5453669700251473,Chicago - IL - Western Kane County,Class C,Submarket - Chicago - IL - Western Kane County - Class C
4,2019-10-01,0.43876844640229207,0.4956583625759021,0.5397424266023554,Chicago - IL - Western Kane County,Class C,Submarket - Chicago - IL - Western Kane County - Class C
5,2020-01-01,0.4431063209598767,0.500769863754313,0.5430662645633924,Chicago - IL - Western Kane County,Class C,Submarket - Chicago - IL - Western Kane County - Class C
6,2020-04-01,0.46673669562849396,0.5246685217603484,0.5630748154538481,Chicago - IL - Western Kane County,Class C,Submarket - Chicago - IL - Western Kane County - Class C
7,2020-07-01,0.4707790074232885,0.5296144181667781,0.5665375454664943,Chicago - IL - Western Kane County,Class C,Submarket - Chicago - IL - Western Kane County - Class C
8,2020-10-01,0.448113314630856,0.5087965988832968,0.5465893408321749,Chicago - IL - Western Kane County,Class C,Submarket - Chicago - IL - Western Kane County - Class C
9,2021-01-01,0.3872017650558832,0.452583372136242,0.49399111752947733,Chicago - IL - Western Kane County,Class C,Submarket - Chicago - IL - Western Kane County - Class C
10,2021-04-01,0.31407795217038204,0.38628190192109835,0.4330442387599218,Chicago - IL - Western Kane County,Class C,Submarket - Chicago - IL - Western Kane County - Class C
11,2021-07-01,0.28679212296355794,0.3619717175764181,0.41107109039892076,Chicago - IL - Western Kane County,Class C,Submarket - Chicago - IL - Western Kane County - Class C
12,2021-10-01,0.25841052634263195,0.3371778456042067,0.3889022618146061,Chicago - IL - Western Kane County,Class C,Submarket - Chicago - IL - Western Kane County - Class C
13,2022-01-01,0.21986444289614182,0.30414303162059,0.3597184748775504,Chicago - IL - Western Kane County,Class C,Submarket - Chicago - IL - Western Kane County - Class C
14,2022-04-01,0.1731006217437654,0.2648517975307847,0.3252395792902154,Chicago - IL - Western Kane County,Class C,Submarket - Chicago - IL - Western Kane County - Class C
15,2022-07-01,0.21026231282266417,0.2947752540926458,0.35214987530598374,Chicago - IL - Western Kane County,Class C,Submarket - Chicago - IL - Western Kane County - Class C
16,2022-10-01,0.22405002413608566,0.3054072720864407,0.3622338933347693,Chicago - IL - Western Kane County,Class C,Submarket - Chicago - IL - Western Kane County - Class C
17,2023-01-01,0.25663285700348015,0.3319900777353204,0.38762627297193175,Chicago - IL - Western Kane County,Class C,Submarket - Chicago - IL - Western Kane County - Class C
18,2023-04-01,0.2809147523652007,0.35181041335231633,0.406991852738686,Chicago - IL - Western Kane County,Class C,Submarket - Chicago - IL - Western Kane County - Class C
19,2023-07-01,0.27350186480265815,0.3444500698436055,0.40113979544947753,Chicago - IL - Western Kane County,Class C,Submarket - Chicago - IL - Western Kane County - Class C
20,2023-10-01,0.25042719176708617,0.3241019241402079,0.38275949644140606,Chicago - IL - Western Kane County,Class C,Submarket - Chicago - IL - Western Kane County - Class C
0,2018-10-01,0.23640971795195886,0.31966158682782475,0.3816763338885376,Philadelphia - PA - Salem County,Class C,Submarket - Philadelphia - PA - Salem County - Class C
1,2019-01-01,0.25527852756798364,0.33819735375503046,0.3971710698835216,Philadelphia - PA - Salem County,Class C,Submarket - Philadelphia - PA - Salem County - Class C
2,2019-04-01,0.25367899518893333,0.3423291368820711,0.39573035981739313,Philadelphia - PA - Salem County,Class C,Submarket - Philadelphia - PA - Salem County - Class C
3,2019-07-01,0.26578372883913937,0.3543771021308588,0.40544545515224484,Philadelphia - PA - Salem County,Class C,Submarket - Philadelphia - PA - Salem County - Class C
4,2019-10-01,0.21578755480873024,0.3114479240080992,0.36519147182929856,Philadelphia - PA - Salem County,Class C,Submarket - Philadelphia - PA - Salem County - Class C
5,2020-01-01,0.23588808198057887,0.32602874276853866,0.38138853505599224,Philadelphia - PA - Salem County,Class C,Submarket - Philadelphia - PA - Salem County - Class C
6,2020-04-01,0.24999722257739165,0.33916208978835116,0.3928152134819516,Philadelphia - PA - Salem County,Class C,Submarket - Philadelphia - PA - Salem County - Class C
7,2020-07-01,0.23213208089169401,0.32307441164443507,0.3788641220446145,Philadelphia - PA - Salem County,Class C,Submarket - Philadelphia - PA - Salem County - Class C
8,2020-10-01,0.19423188843640915,0.2888584852573799,0.35014049207712117,Philadelphia - PA - Salem County,Class C,Submarket - Philadelphia - PA - Salem County - Class C
9,2021-01-01,0.13582413564759066,0.2382151993438404,0.3078411421324567,Philadelphia - PA - Salem County,Class C,Submarket - Philadelphia - PA - Salem County - Class C
10,2021-04-01,0.0723030254279109,0.19069727196565878,0.26584699195767914,Philadelphia - PA - Salem County,Class C,Submarket - Philadelphia - PA - Salem County - Class C
11,2021-07-01,-0.027495143616212858,0.12373571951645568,0.21234564540630552,Philadelphia - PA - Salem County,Class C,Submarket - Philadelphia - PA - Salem County - Class C
12,2021-10-01,-0.08746219985589077,0.08933701855288034,0.185685465443296,Philadelphia - PA - Salem County,Class C,Submarket - Philadelphia - PA - Salem County - Class C
13,2022-01-01,-0.04463582811783173,0.11084108902580803,0.2013374126897669,Philadelphia - PA - Salem County,Class C,Submarket - Philadelphia - PA - Salem County - Class C
14,2022-04-01,-0.09946691702000832,0.07751329267086993,0.17166741219436177,Philadelphia - PA - Salem County,Class C,Submarket - Philadelphia - PA - Salem County - Class C
15,2022-07-01,-0.06143947922299231,0.09899725029990636,0.18775315968704565,Philadelphia - PA - Salem County,Class C,Submarket - Philadelphia - PA - Salem County - Class C
16,2022-10-01,-0.03637113577336282,0.10619649543913545,0.18950059326805713,Philadelphia - PA - Salem County,Class C,Submarket - Philadelphia - PA - Salem County - Class C
17,2023-01-01,0.025344092726381717,0.1559659522776724,0.2323646250992153,Philadelphia - PA - Salem County,Class C,Submarket - Philadelphia - PA - Salem County - Class C
18,2023-04-01,0.06656553903659224,0.18225064496540733,0.2598114892129262,Philadelphia - PA - Salem County,Class C,Submarket - Philadelphia - PA - Salem County - Class C
19,2023-07-01,0.04883048159884584,0.1681385070177226,0.24740501314889474,Philadelphia - PA - Salem County,Class C,Submarket - Philadelphia - PA - Salem County - Class C
20,2023-10-01,0.020788157444719735,0.14697400804716154,0.22857175624504844,Philadelphia - PA - Salem County,Class C,Submarket - Philadelphia - PA - Salem County - Class C
0,2018-10-01,0.2672122063671327,0.3338327352543371,0.3914893211702688,Northern New Jersey - NJ - Pike County,Class C,Submarket - Northern New Jersey - NJ - Pike County - Class C
1,2019-01-01,0.2632924530658758,0.33247486334746434,0.3892001831445644,Northern New Jersey - NJ - Pike County,Class C,Submarket - Northern New Jersey - NJ - Pike County - Class C
2,2019-04-01,0.25666125932057393,0.32769496045910373,0.38439900543063277,Northern New Jersey - NJ - Pike County,Class C,Submarket - Northern New Jersey - NJ - Pike County - Class C
3,2019-07-01,0.25936173559177234,0.3317092106343664,0.38739873665856495,Northern New Jersey - NJ - Pike County,Class C,Submarket - Northern New Jersey - NJ - Pike County - Class C
4,2019-10-01,0.2443126837345988,0.31985312929957654,0.37596036713620884,Northern New Jersey - NJ - Pike County,Class C,Submarket - Northern New Jersey - NJ - Pike County - Class C
5,2020-01-01,0.241763546669171,0.3186974946599763,0.3747293736274757,Northern New Jersey - NJ - Pike County,Class C,Submarket - Northern New Jersey - NJ - Pike County - Class C
6,2020-04-01,0.2525671482113341,0.32932976569324435,0.3838186229628906,Northern New Jersey - NJ - Pike County,Class C,Submarket - Northern New Jersey - NJ - Pike County - Class C
7,2020-07-01,0.22991306220086938,0.3108952856667362,0.3664432795487842,Northern New Jersey - NJ - Pike County,Class C,Submarket - Northern New Jersey - NJ - Pike County - Class C
8,2020-10-01,0.18795242717248395,0.275662990477455,0.33476753286501326,Northern New Jersey - NJ - Pike County,Class C,Submarket - Northern New Jersey - NJ - Pike County - Class C
9,2021-01-01,0.12156354665652547,0.2214113639561568,0.28712450931434685,Northern New Jersey - NJ - Pike County,Class C,Submarket - Northern New Jersey - NJ - Pike County - Class C
10,2021-04-01,0.03370818709869017,0.15582799314108953,0.23109011832143622,Northern New Jersey - NJ - Pike County,Class C,Submarket - Northern New Jersey - NJ - Pike County - Class C
11,2021-07-01,-0.040415264965152686,0.11007029508864874,0.19358917138123366,Northern New Jersey - NJ - Pike County,Class C,Submarket - Northern New Jersey - NJ - Pike County - Class C
12,2021-10-01,-0.11863918785206862,0.06756126197418877,0.16041718130480342,Northern New Jersey - NJ - Pike County,Class C,Submarket - Northern New Jersey - NJ - Pike County - Class C
13,2022-01-01,,-0.004734749341159472,0.10762434373674745,Northern New Jersey - NJ - Pike County,Class C,Submarket - Northern New Jersey - NJ - Pike County - Class C
14,2022-04-01,-0.1978796594027542,-0.026583242615209612,0.0641752455545972,Northern New Jersey - NJ - Pike County,Class C,Submarket - Northern New Jersey - NJ - Pike County - Class C
15,2022-07-01,-0.1691971021604941,-0.00608040512590724,0.08322034497662223,Northern New Jersey - NJ - Pike County,Class C,Submarket - Northern New Jersey - NJ - Pike County - Class C
16,2022-10-01,-0.10424243266868227,0.015449285108289468,0.09141228155016479,Northern New Jersey - NJ - Pike County,Class C,Submarket - Northern New Jersey - NJ - Pike County - Class C
17,2023-01-01,-0.08617016371320185,0.045699396310060925,0.12869682155161977,Northern New Jersey - NJ - Pike County,Class C,Submarket - Northern New Jersey - NJ - Pike County - Class C
18,2023-04-01,-0.0658800237389634,0.07434869017880041,0.16218143993501366,Northern New Jersey - NJ - Pike County,Class C,Submarket - Northern New Jersey - NJ - Pike County - Class C
19,2023-07-01,-0.06451264489622555,0.053028917347302196,0.13332567303574971,Northern New Jersey - NJ - Pike County,Class C,Submarket - Northern New Jersey - NJ - Pike County - Class C
20,2023-10-01,-0.058541805460935126,0.04121516152559601,0.11324847872552501,Northern New Jersey - NJ - Pike County,Class C,Submarket - Northern New Jersey - NJ - Pike County - Class C
0,2018-10-01,0.11320111665031884,0.16603480518964298,0.21874525672820333,Atlanta - GA - Bartow County,Class C,Submarket - Atlanta - GA - Bartow County - Class C
1,2019-01-01,0.14025488552230914,0.19760795996303337,0.25362971913298593,Atlanta - GA - Bartow County,Class C,Submarket - Atlanta - GA - Bartow County - Class C
2,2019-04-01,0.14050704094999844,0.20215413465681142,0.2558938752163522,Atlanta - GA - Bartow County,Class C,Submarket - Atlanta - GA - Bartow County - Class C
3,2019-07-01,0.1965030969299637,0.2660569438859335,0.32528858103750236,Atlanta - GA - Bartow County,Class C,Submarket - Atlanta - GA - Bartow County - Class C
4,2019-10-01,0.17504077892911174,0.2465052181170453,0.3042960252065394,Atlanta - GA - Bartow County,Class C,Submarket - Atlanta - GA - Bartow County - Class C
5,2020-01-01,0.17430293911045736,0.2553254580307043,0.3166607030518669,Atlanta - GA - Bartow County,Class C,Submarket - Atlanta - GA - Bartow County - Class C
6,2020-04-01,0.19867386457265845,0.2805893500276113,0.338497462675178,Atlanta - GA - Bartow County,Class C,Submarket - Atlanta - GA - Bartow County - Class C
7,2020-07-01,0.1707335760569073,0.2575146027277877,0.3169143088785502,Atlanta - GA - Bartow County,Class C,Submarket - Atlanta - GA - Bartow County - Class C
8,2020-10-01,0.13061223607255656,0.22780971335964617,0.2866180008481889,Atlanta - GA - Bartow County,Class C,Submarket - Atlanta - GA - Bartow County - Class C
9,2021-01-01,0.051619387755949875,0.14280400647773717,0.1959600899677869,Atlanta - GA - Bartow County,Class C,Submarket - Atlanta - GA - Bartow County - Class C
10,2021-04-01,-0.008405318752545132,0.07850879577753589,0.12721746519229193,Atlanta - GA - Bartow County,Class C,Submarket - Atlanta - GA - Bartow County - Class C
