date,fc,fc_lower,fc_upper,yy,k,j,chosen_param,date_forecast,geo_slice
2023-10-01,120338.4433,120338.4433,120338.4433,price,Chicago - IL - Western Kane County,Class C,"1, 0, 1",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2024-01-01,120682.00632104832,120507.23330757466,120856.77933452198,price,Chicago - IL - Western Kane County,Class C,"1, 0, 1",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2024-04-01,121047.66511864784,120586.40457664037,121509.75511688075,price,Chicago - IL - Western Kane County,Class C,"1, 0, 1",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2024-07-01,121362.54843847157,120558.42520897996,122170.11945186197,price,Chicago - IL - Western Kane County,Class C,"1, 0, 1",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2024-10-01,121582.36940640693,120402.1014271,122771.10046229135,price,Chicago - IL - Western Kane County,Class C,"1, 0, 1",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2025-01-01,121747.64698229519,120169.4970470731,123342.0685473993,price,Chicago - IL - Western Kane County,Class C,"1, 0, 1",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2025-04-01,122053.53991609029,120061.15807372368,124073.06564446895,price,Chicago - IL - Western Kane County,Class C,"1, 0, 1",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2025-07-01,122211.26817226123,119796.6771305693,124667.06048705897,price,Chicago - IL - Western Kane County,Class C,"1, 0, 1",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2025-10-01,122337.13955076101,119494.86534490013,125237.94399433203,price,Chicago - IL - Western Kane County,Class C,"1, 0, 1",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2026-01-01,122449.87667767963,119176.50032734603,125802.43064888143,price,Chicago - IL - Western Kane County,Class C,"1, 0, 1",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2026-04-01,122542.94730854129,118836.80464787481,126352.25022270478,price,Chicago - IL - Western Kane County,Class C,"1, 0, 1",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2026-07-01,122624.6879858505,118485.03937630937,126894.82498639372,price,Chicago - IL - Western Kane County,Class C,"1, 0, 1",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2026-10-01,122690.60425178196,118117.63265288611,127424.73267501734,price,Chicago - IL - Western Kane County,Class C,"1, 0, 1",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2027-01-01,122751.00970356354,117745.11885740883,127952.07126376168,price,Chicago - IL - Western Kane County,Class C,"1, 0, 1",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2027-04-01,122797.51423218435,117359.80309600462,128467.73875907698,price,Chicago - IL - Western Kane County,Class C,"1, 0, 1",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2027-07-01,122838.08068988168,116969.64010744198,128979.70937067957,price,Chicago - IL - Western Kane County,Class C,"1, 0, 1",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2027-10-01,122874.75910557446,116576.77705285138,129489.93485816145,price,Chicago - IL - Western Kane County,Class C,"1, 0, 1",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2028-01-01,122906.2470983672,116180.10745781595,129996.90977500571,price,Chicago - IL - Western Kane County,Class C,"1, 0, 1",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2028-04-01,122936.10207984484,115783.10662866005,130504.27894002282,price,Chicago - IL - Western Kane County,Class C,"1, 0, 1",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2028-07-01,122954.65888654595,115376.72682519411,131001.72605217532,price,Chicago - IL - Western Kane County,Class C,"1, 0, 1",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2028-10-01,122981.77713883959,114979.74486727985,131510.25580119662,price,Chicago - IL - Western Kane County,Class C,"1, 0, 1",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2023-10-01,2487.662808008492,2487.662808008492,2487.662808008492,ef_r,Chicago - IL - Western Kane County,Class C,"0, 0, 0",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2024-01-01,2487.272683923982,2486.289824480086,2488.255543367879,ef_r,Chicago - IL - Western Kane County,Class C,"0, 0, 0",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2024-04-01,2486.89468017459,2484.9296531139407,2488.860483878025,ef_r,Chicago - IL - Western Kane County,Class C,"0, 0, 0",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2024-07-01,2486.6513316511814,2483.704717280954,2489.600275633943,ef_r,Chicago - IL - Western Kane County,Class C,"0, 0, 0",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2024-10-01,2486.599805060535,2482.6719561200025,2490.532312862203,ef_r,Chicago - IL - Western Kane County,Class C,"0, 0, 0",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2025-01-01,2486.610157293964,2481.7010588319135,2491.527021306656,ef_r,Chicago - IL - Western Kane County,Class C,"0, 0, 0",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2025-04-01,2486.620189520314,2480.730221813814,2492.5218063505786,ef_r,Chicago - IL - Western Kane County,Class C,"0, 0, 0",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2025-07-01,2486.6266490022667,2479.7562002632753,2493.513407315214,ef_r,Chicago - IL - Western Kane County,Class C,"0, 0, 0",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2025-10-01,2486.6280168696953,2478.77748358437,2494.5002970361943,ef_r,Chicago - IL - Western Kane County,Class C,"0, 0, 0",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2026-01-01,2486.6277420449114,2477.797515437991,2495.485929702338,ef_r,Chicago - IL - Western Kane County,Class C,"0, 0, 0",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2026-04-01,2486.6274757166184,2476.8179431817716,2496.4719603406447,ef_r,Chicago - IL - Western Kane County,Class C,"0, 0, 0",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2026-07-01,2486.627304235671,2475.838852662716,2497.4584758078176,ef_r,Chicago - IL - Western Kane County,Class C,"0, 0, 0",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2026-10-01,2486.6272679227627,2474.860283761465,2498.4455168670265,ef_r,Chicago - IL - Western Kane County,Class C,"0, 0, 0",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2027-01-01,2486.627275218558,2473.8821450392124,2499.432991838969,ef_r,Chicago - IL - Western Kane County,Class C,"0, 0, 0",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2027-04-01,2486.627282288798,2472.904392682205,2500.420856869598,ef_r,Chicago - IL - Western Kane County,Class C,"0, 0, 0",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2027-07-01,2486.6272868411174,2471.9270242582043,2501.409109807821,ef_r,Chicago - IL - Western Kane County,Class C,"0, 0, 0",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2027-10-01,2486.6272878051195,2470.9500385533784,2502.39774972819,ef_r,Chicago - IL - Western Kane County,Class C,"0, 0, 0",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2028-01-01,2486.627287611437,2469.973437834593,2503.3867792268493,ef_r,Chicago - IL - Western Kane County,Class C,"0, 0, 0",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2028-04-01,2486.627287423743,2468.9972231064776,2504.376199628367,ef_r,Chicago - IL - Western Kane County,Class C,"0, 0, 0",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
2028-07-01,2486.627287302892,2468.021394276895,2505.3660111485365,ef_r,Chicago - IL - Western Kane County,Class C,"0, 0, 0",2023-10-01,Submarket - Chicago - IL - Western Kane County - Class C
