,k,j,date,irr,geo_slice
0,Chicago - IL - Western Kane County,Class C,2001-01-01,0.9953449654145305,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2001-04-01,0.9709116471302754,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2001-07-01,0.9482006040131605,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2001-10-01,0.9230235724230749,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2002-01-01,0.883719366228852,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2002-04-01,0.8499562758431907,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2002-07-01,0.8407080588121785,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2002-10-01,0.7734245949864031,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2003-01-01,0.7272044049754325,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2003-04-01,0.6932696735545154,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2003-07-01,0.620662034811353,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2003-10-01,0.52498002605355,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2004-01-01,0.48858149777500026,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2004-04-01,0.43858674253527297,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2004-07-01,0.43303540584955047,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2004-10-01,0.3832130388756383,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2005-01-01,0.3883055402435771,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2005-04-01,0.4191646011208163,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2005-07-01,0.4353298725488959,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2005-10-01,0.43839315907782983,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2006-01-01,0.4477998644938017,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2006-04-01,0.4228214826644401,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2006-07-01,0.42451913719769196,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2006-10-01,0.42719073560083065,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2007-01-01,0.416685792378618,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2007-04-01,0.4131860576340918,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2007-07-01,0.4389405459853388,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2007-10-01,0.4929368559145184,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2008-01-01,0.5624623597752134,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2008-04-01,0.614459617947894,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2008-07-01,0.6905927151241891,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2008-10-01,0.7872711249556539,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2009-01-01,0.8713982435932852,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2009-04-01,0.8919257483928311,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2009-07-01,0.8920386107287857,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2009-10-01,0.8691115598823598,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2010-01-01,0.8083918668747927,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2010-04-01,0.740331172302995,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2010-07-01,0.6852351966352612,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2010-10-01,0.6186380130568911,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2011-01-01,0.5504162392616725,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2011-04-01,0.5421644688072491,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2011-07-01,0.5710748537517434,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2011-10-01,0.5753923545371968,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2012-01-01,0.579302213890746,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2012-04-01,0.5870755978362181,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2012-07-01,0.5812305394797896,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2012-10-01,0.5569704575398096,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2013-01-01,0.5544199936225382,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2013-04-01,0.5584247808753822,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2013-07-01,0.5403733532456718,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2013-10-01,0.5284414587105128,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2014-01-01,0.5177860238721248,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2014-04-01,0.5309321004049277,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2014-07-01,0.5199224292554794,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2014-10-01,0.5056331887197547,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2015-01-01,0.513125935729609,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2015-04-01,0.49801526489051273,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2015-07-01,0.4986982778090976,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2015-10-01,0.4800031575628134,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2016-01-01,0.5070575899692291,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2016-04-01,0.5177838726580544,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2016-07-01,0.5390908976484727,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2016-10-01,0.5380601001996994,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2017-01-01,0.5429475111775037,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2017-04-01,0.5166469851405773,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2017-07-01,0.516197011760072,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2017-10-01,0.5143514703705176,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2018-01-01,0.49949661778436316,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2018-04-01,0.4866489713273312,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2018-07-01,0.486020685658638,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2018-10-01,0.47169564433001687,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2019-01-01,,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2019-04-01,,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2019-07-01,,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2019-10-01,,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2020-01-01,,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2020-04-01,,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2020-07-01,,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2020-10-01,,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2021-01-01,,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2021-04-01,,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2021-07-01,,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2021-10-01,,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2022-01-01,,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2022-04-01,,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2022-07-01,,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2022-10-01,,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2023-01-01,,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2023-04-01,,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2023-07-01,,Submarket - Chicago - IL - Western Kane County - Class C
0,Chicago - IL - Western Kane County,Class C,2023-10-01,,Submarket - Chicago - IL - Western Kane County - Class C
0,Philadelphia - PA - Salem County,Class C,2001-01-01,0.6435969348718296,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2001-04-01,0.6184798230018116,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2001-07-01,0.6049292264090294,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2001-10-01,0.5876672940772287,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2002-01-01,0.5525626498263081,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2002-04-01,0.5245023324939333,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2002-07-01,0.5176055723427093,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2002-10-01,0.48231819640910145,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2003-01-01,0.4335144198834364,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2003-04-01,0.38551323298381956,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2003-07-01,0.29791866632733854,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2003-10-01,0.21872176811875255,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2004-01-01,0.15099989252052737,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2004-04-01,0.06547790565269596,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2004-07-01,0.05490775941564219,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2004-10-01,0.06006283875097407,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2005-01-01,0.07369774520115002,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2005-04-01,0.11815021009640359,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2005-07-01,0.1565167644187384,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2005-10-01,0.1689954528405717,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2006-01-01,0.19154978269778078,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2006-04-01,0.18126073591806513,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2006-07-01,0.1912779448480404,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2006-10-01,0.200706628236051,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2007-01-01,0.18829681182507296,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2007-04-01,0.1826149471825136,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2007-07-01,0.20524424567681,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2007-10-01,0.2603700263243218,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2008-01-01,0.32710055118852166,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2008-04-01,0.37370585200339024,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2008-07-01,0.4380202819608561,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2008-10-01,0.5239115949548387,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2009-01-01,0.6049277609876045,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2009-04-01,0.6202710713494488,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2009-07-01,0.6198380413029334,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2009-10-01,0.6055676336204912,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2010-01-01,0.5569227320379622,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2010-04-01,0.5025781444193231,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2010-07-01,0.451165364240538,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2010-10-01,0.3994934561827095,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2011-01-01,0.33991464220898937,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2011-04-01,0.33158215898961996,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2011-07-01,0.35599412288739685,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2011-10-01,0.37086025766514874,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2012-01-01,0.3748007681947063,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2012-04-01,0.37868035944292466,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2012-07-01,0.3782717201735504,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2012-10-01,0.37481394472726803,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2013-01-01,0.3687583260244196,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2013-04-01,0.37632699134251824,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2013-07-01,0.3596504888378791,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2013-10-01,0.37151803289634566,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2014-01-01,0.3371330626201481,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2014-04-01,0.3440208504830973,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2014-07-01,0.34321866633340004,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2014-10-01,0.36654104087440187,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2015-01-01,0.36880738906016486,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2015-04-01,0.36730216463293974,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2015-07-01,0.3777033725890162,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2015-10-01,0.3883035279650304,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2016-01-01,0.40583299977137455,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2016-04-01,0.4277646858658162,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2016-07-01,0.46286248194011637,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2016-10-01,0.45238328769528846,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2017-01-01,0.4336352975399729,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2017-04-01,0.43279991068163026,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2017-07-01,0.4218401432470591,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2017-10-01,0.3982125158652843,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2018-01-01,0.3716552080261335,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2018-04-01,0.35734795294043376,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2018-07-01,0.35364942349509265,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2018-10-01,0.31966158682782475,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2019-01-01,,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2019-04-01,,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2019-07-01,,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2019-10-01,,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2020-01-01,,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2020-04-01,,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2020-07-01,,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2020-10-01,,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2021-01-01,,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2021-04-01,,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2021-07-01,,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2021-10-01,,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2022-01-01,,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2022-04-01,,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2022-07-01,,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2022-10-01,,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2023-01-01,,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2023-04-01,,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2023-07-01,,Submarket - Philadelphia - PA - Salem County - Class C
0,Philadelphia - PA - Salem County,Class C,2023-10-01,,Submarket - Philadelphia - PA - Salem County - Class C
0,Northern New Jersey - NJ - Pike County,Class C,2001-01-01,0.8128899205162998,Submarket - Northern New Jersey - NJ - Pike County - Class C
0,Northern New Jersey - NJ - Pike County,Class C,2001-04-01,0.7860655564735488,Submarket - Northern New Jersey - NJ - Pike County - Class C
0,Northern New Jersey - NJ - Pike County,Class C,2001-07-01,0.7699825216663347,Submarket - Northern New Jersey - NJ - Pike County - Class C
0,Northern New Jersey - NJ - Pike County,Class C,2001-10-01,0.748687950587382,Submarket - Northern New Jersey - NJ - Pike County - Class C
0,Northern New Jersey - NJ - Pike County,Class C,2002-01-01,0.7102007142571625,Submarket - Northern New Jersey - NJ - Pike County - Class C
0,Northern New Jersey - NJ - Pike County,Class C,2002-04-01,0.6802439058856633,Submarket - Northern New Jersey - NJ - Pike County - Class C
0,Northern New Jersey - NJ - Pike County,Class C,2002-07-01,0.6708539841114705,Submarket - Northern New Jersey - NJ - Pike County - Class C
0,Northern New Jersey - NJ - Pike County,Class C,2002-10-01,0.6317433503625263,Submarket - Northern New Jersey - NJ - Pike County - Class C
0,Northern New Jersey - NJ - Pike County,Class C,2003-01-01,0.5790236943808491,Submarket - Northern New Jersey - NJ - Pike County - Class C
0,Northern New Jersey - NJ - Pike County,Class C,2003-04-01,0.5298817025780691,Submarket - Northern New Jersey - NJ - Pike County - Class C
0,Northern New Jersey - NJ - Pike County,Class C,2003-07-01,0.4465460174875857,Submarket - Northern New Jersey - NJ - Pike County - Class C
0,Northern New Jersey - NJ - Pike County,Class C,2003-10-01,0.37763760069034547,Submarket - Northern New Jersey - NJ - Pike County - Class C
0,Northern New Jersey - NJ - Pike County,Class C,2004-01-01,0.321423164342695,Submarket - Northern New Jersey - NJ - Pike County - Class C
